Building,Type
Phillips,Dorm
Dejope,Dorm
Bradley,Dorm
Kronshage,Dorm
Cole,Dorm
Adams,Dorm
Tripp,Dorm
Slichter,Dorm
Liz Waters,Dorm
Sellery,Dorm
Witte,Dorm
Smith,Dorm
Ogg,Dorm
Chadbourne,Dorm
Sullivan,Dorm
Leopold,Dorm
Humphrey,Dorm
Carson,Dining Hall
Gordon,Dining Hall
Four Lakes,Dining Hall
Rheta's,Dining Hall
Liz's Market,Dining Hall
Steenbock,Library
College Library,Library
Memorial Library,Library
Wisconsin Historical Society,Library
Ingraham,Hall
Van Hise,Hall
Sterling,Hall
Chamberlin,Hall
Bascom Hall,Hall
Birge Hall,Hall
Science Hall,Hall
Law Building,Hall
Music Hall,Hall
Computer Sciences,Hall
Chemistry Building,Hall
Engineering Hall,Hall
Grainger Hall,Hall
Humanities,Hall
Vilas Hall,Hall
Bacom Hall,Hall
The Nick,Gym
The Shell,Gym
State Street,Food
Memorial Union,Food
Union South,Food
Elm Dr,Intersection
Observatory Dr/Willow Dr,Intersection
Elm Dr/Observatory Dr,Intersection
Babcock Dr/Tripp Cr,Intersection
Babcock Dr/Observatory Dr,Intersection
Charter St/Observatory Dr,Intersection
Charter St/Linden Dr,Intersection
Charter St/University Ave,Intersection
Babcock Dr/Linden Dr,Intersection
University Ave/Randall Ave,Intersection
University Ave/Johnson St,Intersection
Johnson St/Orchard St,Intersection
Engineering Dr/Randall Ave,Intersection
Charter St/Johnson St,Intersection
Charter St/Dayton St,Intersection
Dayton St/Orchard St,Intersection
Dayton St/Randall Ave,Intersection
Observatory Dr/Park St,Intersection
Langdon St/Park St,Intersection
Langdon St/Lake St,Intersection
Lake St/University Ave,Intersection
Park St/University Ave,Intersection
Bascom Hill/Park St,Intersection
Johnson St/Park St,Intersection
Johnson St/Lake St,Intersection
Brooks St/University Ave,Intersection
Brooks St/Johnson St,Intersection
Monroe St/Randall Ave,Intersection
Dayton St/Park St,Intersection
Dayton St/East Campus Mall,Intersection
East Campus Mall/Johnson St,Intersection
Dayton St/Lake St,Intersection
Park St/Spring St,Intersection
Dayton St/Mills St,Intersection
Johnson St/Mills St,Intersection
